No,Tool,Category,Release,Best For / Use-Case,Website,Pricing Model,Free Tier / Trial,Paid Plans (USD per month unless noted),G2 Rating (n/a = no/limited G2 profile),Est. Monthly Web Visits,Est. Mobile MAU,Origin
1,ChatGPT,"Chatbots & Assistants (LLM)",Nov 2022,"All-purpose assistant for writing, coding & research",https://chatgpt.com,Freemium,"Free forever (GPT-5-class w/ limits)","Go $8; Plus $20; Pro $100; Pro Max $200; Business $25/seat; Enterprise custom",4.7,5.5B,~800M weekly (all platforms),United States
2,Google Gemini,"Chatbots & Assistants (LLM)",Feb 2024 (Bard Mar 2023),"Google-integrated multimodal help & research",https://gemini.google.com,Freemium,"Free forever","AI Plus $7.99; AI Pro $19.99; AI Ultra $99.99",4.4,805.6M,~350M+ (2025, reported),United States
3,Claude,"Chatbots & Assistants (LLM)",Mar 2023,"Long-document reasoning, writing & coding",https://claude.ai,Freemium,"Free forever","Pro $20 ($17 annual); Max 5x $100; Max 20x $200; Team $25/seat",4.4,219.9M,n/a,United States
4,Grok,"Chatbots & Assistants (LLM)",Nov 2023,"Real-time takes tied to X and trends",https://grok.com,Freemium,"Free (limited)","SuperGrok ~$30; via X Premium+ ~$40",n/a,265.5M,n/a,United States
5,DeepSeek,"Chatbots & Assistants (LLM)",Nov 2023,"Free high-quality chat & coding",https://www.deepseek.com,Free,"Free app/web; pay-per-token API","API pay-as-you-go",n/a,262M,n/a,China
6,Microsoft Copilot,"Chatbots & Assistants (LLM)",Feb 2023,"AI inside Windows & Microsoft 365",https://copilot.microsoft.com,Freemium,"Free forever","Copilot Pro $20; M365 Copilot $30/seat",4.4,94.5M,n/a,United States
7,Kimi,"Chatbots & Assistants (LLM)",Oct 2023,"Long-context research & coding (China)",https://www.kimi.com,Freemium,"Free; paid API","API pay-as-you-go",n/a,18.5M,n/a,China
8,Doubao,"Chatbots & Assistants (LLM)",Aug 2023,"Everyday consumer assistant (China)",https://www.doubao.com,Free,"Free consumer app","—",n/a,n/a,~75M+ (China),China
9,Meta AI,"Chatbots & Assistants (LLM)",Sep 2023,"In-app help across WhatsApp/Instagram",https://www.meta.ai,Free,"Free in Meta apps","—",n/a,n/a,~1B (across Meta apps),United States
10,Poe,"Chatbots & Assistants (LLM)",Feb 2023,"Trying many AI models in one place",https://poe.com,Freemium,"Free (daily points)","Premium $20",n/a,13M,n/a,United States
11,Qwen,"Chatbots & Assistants (LLM)",Apr 2023,"Open-weight multilingual chat",https://chat.qwen.ai,Free,"Free web/app; paid API","API pay-as-you-go",n/a,n/a,n/a,China
12,Yuanbao,"Chatbots & Assistants (LLM)",May 2024,"Tencent ecosystem assistant (China)",https://yuanbao.tencent.com,Free,"Free consumer app","—",n/a,n/a,n/a,China
13,Pi,"Chatbots & Assistants (LLM)",May 2023,"Casual, supportive conversation",https://pi.ai,Free,"Free","—",n/a,0.81M,n/a,United States
14,OpenRouter,"Chatbots & Assistants (LLM)",2023,"One API across many LLMs",https://openrouter.ai,Pay-as-you-go,"Free tier + credits","Pay-per-token across models",n/a,n/a,n/a,United States
15,Perplexity AI,"Search & Answer Engines",Dec 2022,"Cited answers & research",https://www.perplexity.ai,Freemium,"Free forever","Pro $20; Max $200; Education Pro $10; Enterprise $40/seat",4.5,206.1M,n/a,United States
16,Consensus,"Search & Answer Engines",2022,"Evidence from scientific papers",https://consensus.app,Freemium,"Free (limited searches)","Premium ~$9; Enterprise custom",n/a,3.3M,n/a,United States
17,You.com,"Search & Answer Engines",Nov 2021,"Private AI search",https://you.com,Freemium,"Free forever","Pro ~$15; Team ~$25/seat",n/a,1.6M,n/a,United States
18,Genspark,"Search & Answer Engines",Jun 2024,"Agentic answer pages",https://www.genspark.ai,Freemium,"Free (credits)","Plus ~$25",n/a,n/a,n/a,United States
19,Brave Leo,"Search & Answer Engines",Nov 2023,"Private in-browser AI",https://brave.com/leo/,Freemium,"Free in Brave browser","Leo Premium ~$15",n/a,n/a,n/a,United States
20,Grammarly,"Writing & Grammar",2015,"Everyday writing correctness",https://www.grammarly.com,Freemium,"Free forever","Pro $12 (annual); Business $15/seat",4.7,54.4M,n/a,United States
21,QuillBot,"Writing & Grammar",2017,"Paraphrasing & summarizing",https://quillbot.com,Freemium,"Free forever","Premium ~$10 (annual)",4.5,47.3M,n/a,United States
